Timestamp,Symbol,Direction,Breakout_Type,Trigger_Price,Stop_Loss,WOBI_Ratio,Bid_Qty,Ask_Qty,OR_High,OR_Low,Candle_OHLC,Trend,Token
2026-06-10 09:45:01,CIPLA,SELL,BEAR_BREAKOUT,1384.5,1384.6,-0.6311,156,1043,0.0,inf,1381.0/1384.6/1380.5/1384.5,N/A,177665
2026-06-10 09:45:03,TITAN,BUY,BULL_BREAKOUT,4097.7,4096.0,+0.7690,669,71,0.0,inf,4098.4/4099.1/4096.0/4097.7,N/A,897537
2026-06-10 09:45:03,GMRAIRPORT,BUY,BULL_BREAKOUT,102.62,102.39,+0.8277,26026,2552,0.0,inf,102.44/102.62/102.39/102.62,N/A,3463169
2026-06-10 09:45:05,PNB,BUY,BULL_BREAKOUT,109.8,109.53,+0.6681,21063,4143,0.0,inf,109.56/109.83/109.53/109.8,N/A,2730497
2026-06-10 09:50:00,BANDHANBNK,BUY,BULL_BREAKOUT,207.16,206.69,+0.8472,9977,2372,0.0,inf,206.82/207.25/206.69/207.16,N/A,579329
2026-06-10 09:55:00,AXISBANK,SELL,BEAR_BREAKOUT,1299.6,1300.4,-0.7135,1731,12427,0.0,inf,1300.1/1300.4/1298.7/1299.6,N/A,1510401
2026-06-10 09:55:03,PNB,BUY,BULL_BREAKOUT,109.37,109.36,+0.6409,116288,24728,0.0,inf,109.7/109.7/109.36/109.37,N/A,2730497
2026-06-10 10:00:00,FEDERALBNK,BUY,BULL_BREAKOUT,312.25,312.2,+0.7116,26547,6280,0.0,inf,312.4/312.75/312.2/312.25,N/A,261889
2026-06-10 10:00:01,PNB,BUY,BULL_BREAKOUT,109.39,109.31,+0.7521,33461,7794,0.0,inf,109.38/109.55/109.31/109.39,N/A,2730497
2026-06-10 10:05:00,TITAN,SELL,BEAR_BREAKOUT,4106.9,4106.9,-0.7370,25,127,0.0,inf,4102.3/4106.9/4100.0/4106.9,N/A,897537
2026-06-10 10:05:00,AXISBANK,SELL,BEAR_BREAKOUT,1298.7,1299.3,-0.9489,431,18091,0.0,inf,1298.4/1299.3/1298.4/1298.7,N/A,1510401
2026-06-10 10:05:00,PNB,BUY,BULL_BREAKOUT,109.04,109.01,+0.8835,262228,11292,0.0,inf,109.34/109.35/109.01/109.04,N/A,2730497
2026-06-10 10:05:02,UNIONBANK,SELL,BEAR_BREAKOUT,168.82,169.1,-0.9215,1279,23273,0.0,inf,169.0/169.1/168.75/168.82,N/A,2752769
2026-06-10 10:05:05,APOLLOHOSP,SELL,BEAR_BREAKOUT,8575.5,8583.0,-0.8660,69,934,0.0,inf,8576.0/8583.0/8570.5/8575.5,N/A,40193
2026-06-10 10:10:00,SBIN,SELL,BEAR_BREAKOUT,1006.0,1006.55,-0.7177,1423,5585,0.0,inf,1004.85/1006.55/1004.65/1006.0,N/A,779521
2026-06-10 10:10:00,BANDHANBNK,BUY,BULL_BREAKOUT,205.14,204.99,+0.6250,7915,1470,0.0,inf,205.21/205.41/204.99/205.14,N/A,579329
2026-06-10 10:10:00,AXISBANK,BUY,BULL_BREAKOUT,1305.0,1298.2,+0.6169,9412,3187,0.0,inf,1298.6/1305.0/1298.2/1305.0,N/A,1510401
2026-06-10 10:15:00,BANDHANBNK,BUY,BULL_BREAKOUT,204.42,204.36,+0.7293,4835,748,0.0,inf,205.14/205.41/204.36/204.42,N/A,579329
2026-06-10 10:15:04,RECLTD,SELL,BEAR_BREAKOUT,351.1,351.55,-0.7818,1451,8464,0.0,inf,351.55/351.55/351.0/351.1,N/A,3930881
2026-06-10 10:20:00,BANDHANBNK,BUY,BULL_BREAKOUT,204.13,203.99,+0.8044,3950,734,0.0,inf,204.42/204.59/203.99/204.13,N/A,579329
2026-06-10 10:20:00,UNIONBANK,SELL,BEAR_BREAKOUT,168.65,168.71,-0.7449,1595,9322,0.0,inf,168.31/168.71/168.06/168.65,N/A,2752769
2026-06-10 10:20:00,TITAN,SELL,BEAR_BREAKOUT,4109.0,4110.0,-0.9103,42,838,0.0,inf,4105.0/4110.0/4102.0/4109.0,N/A,897537
2026-06-10 10:20:01,AXISBANK,SELL,BEAR_BREAKOUT,1303.5,1303.7,-0.8473,822,11817,0.0,inf,1300.8/1303.7/1299.1/1303.5,N/A,1510401
2026-06-10 10:20:01,PNB,SELL,BEAR_BREAKOUT,109.27,109.29,-0.8429,7993,58852,0.0,inf,109.04/109.29/109.0/109.27,N/A,2730497
2026-06-10 10:25:00,PNB,SELL,BEAR_BREAKOUT,109.4,109.4,-0.7477,15877,45688,0.0,inf,109.26/109.4/109.23/109.4,N/A,2730497
2026-06-10 10:25:03,APOLLOHOSP,SELL,BEAR_BREAKOUT,8615.0,8620.0,-0.7991,141,1107,0.0,inf,8608.0/8620.0/8606.5/8615.0,N/A,40193
